transaction_id,user_id,amount,transaction_type,is_new_beneficiary,new_ip_device_combo,otp_burst_flag,phishing_referrer_flag,hour_of_day,is_odd_hour,avg_daily_txn_amount,amount_ratio,txn_frequency_last_24h,previous_fraud_flag,email_domain_age_days,email_domain_verified,is_fraud
T00000,U0103,428.62,CASH_OUT,0,0,0,0,7,0,210.70806311654667,2.03,6,0,231,0,0
T00001,U0436,67.4,CASH_IN,0,0,0,0,23,1,215.94012409855105,0.31,3,0,179,1,1
T00002,U0349,435.8,CASH_OUT,0,0,0,0,18,0,326.65794847283405,1.33,4,0,132,1,0
T00003,U0271,726.96,PAYMENT,1,0,1,0,4,1,241.1172256290056,3.01,5,0,266,1,1
T00004,U0107,260.79,CASH_OUT,0,0,0,0,23,1,226.98960001053229,1.15,1,0,28,0,0
T00005,U0072,1059.46,CASH_IN,0,0,0,0,9,0,276.1420786753592,3.84,1,0,330,0,0
T00006,U0189,523.03,CASH_OUT,0,0,0,1,8,0,354.2057017997567,1.48,1,0,35,1,0
T00007,U0021,1147.55,CASH_OUT,1,0,0,0,17,0,277.01471778286435,4.14,8,0,345,0,0
T00008,U0103,488.43,CASH_IN,0,0,0,0,23,1,306.96700411722713,1.59,1,0,54,1,0
T00009,U0122,70.37,TRANSFER,0,0,1,0,18,0,280.83427985651184,0.25,4,0,239,1,0
T00010,U0467,185.31,CASH_OUT,0,0,0,0,4,1,555.5815215497023,0.33,3,0,14,1,0
T00011,U0215,112.69,CASH_OUT,0,0,0,0,20,0,302.6327427683198,0.37,1,0,216,1,0
T00012,U0331,1197.5,CASH_IN,1,0,0,0,10,0,258.662015543146,4.63,0,0,222,1,1
T00013,U0459,714.39,TRANSFER,1,0,0,0,19,0,57.33419268433494,12.46,2,1,260,1,0
T00014,U0088,564.12,PAYMENT,0,0,0,0,23,1,289.5250906217112,1.95,1,0,345,1,0
T00015,U0373,179.03,CASH_OUT,1,0,0,0,0,1,461.4664890853446,0.39,4,0,291,1,0
T00016,U0100,101.7,TRANSFER,0,0,0,0,11,0,156.76427334688344,0.65,4,0,39,0,0
T00017,U0360,706.22,CASH_OUT,0,0,0,0,5,1,220.98039821480128,3.2,5,0,221,0,0
T00018,U0152,321.38,TRANSFER,1,0,0,1,22,0,518.8871941012793,0.62,0,0,200,1,0
T00019,U0131,127.96,PAYMENT,0,0,0,0,23,1,156.9090062587013,0.82,5,0,209,1,1
